gender,age,race,education,education_group,income,employment,job_role,region,ITwealth,IThealth,ITcivic,ITwork
Male,25 to 34,White,Some college,Some college,$50K-$74K,Student,Technical/skilled trade,Pacific,0,0,0,0
Male,45 to 54,White,Some college,Some college,$0-$24K,Employed/Working FT,Other,West South Central,0,0,0,0
Male,35 to 44,White,Elementary,HighSchool or less,$25K-$49K,Disabled/Unable to work,Logistics/transportation,East North Central,2.5,0,0,0
Male,35 to 44,White,Bachelor degree,Bachelor degree,$50K-$74K,Employed/Working FT,Licensed professional,West North Central,3,2,2,2
Male,55 to 64,Multiple races,Some college,Some college,$50K-$74K,Retired,Not employed,Middle Atlantic,5,2.5,5,4
Female,25 to 34,Black,Some college,Some college,$50K-$74K,Employed/Working FT,Owner/Exec/Mgmt,Middle Atlantic,5,4.5,5,2
Female,35 to 44,White,Some college,Some college,$25K-$49K,Employed/Working FT,Owner/Exec/Mgmt,Middle Atlantic,4,4,4,4.5
Female,55 to 64,White,Graduate degree,Post-graduate,$75K-$99K,Employed/Working FT,Licensed professional,East North Central,5,3.5,3,5
Female,45 to 54,White,Some college,Some college,$0-$24K,Employed/Working FT,Other,West South Central,5,3.5,5,3
Female,18 to 24,White,Some college,Some college,$25K-$49K,Employed/Working FT,Sales/service,Middle Atlantic,5,3,4.5,4
Male,65 to 74,White,Graduate degree,Post-graduate,$75K-$99K,Retired,Not employed,Middle Atlantic,5,3.5,4.5,3.5
Female,35 to 44,White,Some college,Some college,$50K-$74K,Employed/Working FT,Other,New England,4,5,4,3.5
Male,35 to 44,Multiple races,Bachelor degree,Bachelor degree,$50K-$74K,Employed/Working FT,Logistics/transportation,East South Central,5,3,5,3.5
Male,45 to 54,White,Bachelor degree,Bachelor degree,$25K-$49K,Disabled/Unable to work,Other,Mountain,5,4.5,5,2
Male,25 to 34,White,Some HighSchool,HighSchool or less,$25K-$49K,Employed/Working FT,Other,East North Central,2,2.5,1.5,3
Female,45 to 54,White,Bachelor degree,Bachelor degree,$50K-$74K,Employed/Working FT,Admin professional,New England,4.5,3.5,4,4.5
Female,35 to 44,Multiple races,Graduate degree,Post-graduate,$100K-$149K,Employed/Working FT,Other,Middle Atlantic,4.5,4.5,4.5,3
Female,45 to 54,White,Some college,Some college,$75K-$99K,Employed/Working part-time,Admin professional,West South Central,5,3.5,4.5,3.5
Male,45 to 54,Black,Some college,Some college,$75K-$99K,Employed/Working FT,Technical/skilled trade,South Atlantic,5,4.5,5,2
Female,35 to 44,Black,Bachelor degree,Bachelor degree,$25K-$49K,Not employed/Looking for work,Sales/service,South Atlantic,4.5,4,5,3
Female,35 to 44,Black,Some college,Some college,$25K-$49K,Employed/Working part-time,Other,East North Central,4,3.5,5,4
Female,45 to 54,White,Graduated from HighSchool,HighSchool or less,$25K-$49K,Employed/Working FT,Sales/service,East South Central,4.5,3.5,4.5,4
Female,55 to 64,White,Bachelor degree,Bachelor degree,$50K-$74K,Employed/Working FT,Licensed professional,Middle Atlantic,4.5,4.5,5,2.5
Female,55 to 64,White,Graduate degree,Post-graduate,$0-$24K,Employed/Working FT,Owner/Exec/Mgmt,South Atlantic,3,4,5,4.5
Male,45 to 54,White,Graduated from HighSchool,HighSchool or less,$0-$24K,Disabled/Unable to work,Not employed,South Atlantic,4,4.5,4,4
Male,18 to 24,White,Some college,Some college,$0-$24K,Student,Other,East South Central,2,0,5,2
Male,45 to 54,White,Bachelor degree,Bachelor degree,$50K-$74K,Not employed/Looking for work,Not employed,Middle Atlantic,4,3.5,5,4
Female,55 to 64,White,Graduate degree,Post-graduate,$100K-$149K,Employed/Working FT,Owner/Exec/Mgmt,Middle Atlantic,5,2,5,4.5
Male,45 to 54,White,Some college,Some college,$25K-$49K,Employed/Working FT,Admin professional,Middle Atlantic,4.5,2,5,5
Female,65 to 74,White,Some college,Some college,$75K-$99K,Retired,Not employed,South Atlantic,5,5,4.5,2
Male,35 to 44,Black,Some college,Some college,$25K-$49K,Employed/Working FT,Other,West North Central,5,4.5,4,3
Male,55 to 64,White,Graduated from HighSchool,HighSchool or less,$50K-$74K,Employed/Working FT,Technical/skilled trade,West South Central,5,4.5,5,2
Male,25 to 34,White,Some graduate school,Post-graduate,$75K-$99K,Not employed/Looking for work,Logistics/transportation,East North Central,3,3.5,5,5
Female,45 to 54,White,Some college,Some college,$50K-$74K,Employed/Working FT,Logistics/transportation,East North Central,4,4.5,5,3
Female,45 to 54,White,Graduated from HighSchool,HighSchool or less,$0-$24K,Employed/Working part-time,Sales/service,Middle Atlantic,5,3.5,5,3
Male,55 to 64,Asian,Graduate degree,Post-graduate,$150K and up,Retired,Not employed,West South Central,5,3,4.5,4
Male,35 to 44,White,Bachelor degree,Bachelor degree,$100K-$149K,Employed/Working FT,Technical/skilled trade,East North Central,2,2,2.5,2.5
Male,55 to 64,White,Graduate degree,Post-graduate,$100K-$149K,Employed/Working FT,Owner/Exec/Mgmt,West South Central,5,2.5,4.5,4.5
Female,45 to 54,American Indian or Alaskan Native,Some college,Some college,$0-$24K,Disabled/Unable to work,Not employed,Pacific,5,4.5,5,2
Female,55 to 64,White,Some college,Some college,$25K-$49K,Employed/Working FT,Other,East North Central,5,3.5,3,5
Female,55 to 64,White,Graduate degree,Post-graduate,$75K-$99K,Employed/Working FT,Admin professional,West South Central,4.5,3,5,4
Female,65 to 74,White,Bachelor degree,Bachelor degree,$25K-$49K,Disabled/Unable to work,Not employed,Middle Atlantic,4.5,4.5,4.5,3
Male,65 to 74,White,Graduate degree,Post-graduate,$100K-$149K,Retired,Not employed,East North Central,5,3,4,4.5
Female,45 to 54,White,Bachelor degree,Bachelor degree,$25K-$49K,Disabled/Unable to work,Not employed,South Atlantic,4.5,4,5,3
Male,45 to 54,White,Bachelor degree,Bachelor degree,$50K-$74K,Disabled/Unable to work,Not employed,Middle Atlantic,4,4,5,3.5
Female,65 to 74,Black,Graduate degree,Post-graduate,$25K-$49K,Employed/Working part-time,Other,West South Central,2,5,5,4.5
Male,55 to 64,White,Graduate degree,Post-graduate,$150K and up,Employed/Working FT,Other,East North Central,5,3,5,3.5
Male,18 to 24,White,Graduated from HighSchool,HighSchool or less,$0-$24K,Employed/Working part-time,Other,Middle Atlantic,2,2,2,3
Female,18 to 24,White,Some college,Some college,$0-$24K,Student,Not employed,East North Central,5,3,5,3.5
Male,75 or older,White,Graduate degree,Post-graduate,$100K-$149K,Retired,Not employed,East North Central,4,5,3,4.5
